,imdb_id,title,poster_path
0,"""tt0468569""","""The Dark Knight""","""/qJ2tW6WMUDux911r6m7haRef0WH.jpg"""
1,"""tt0121766""","""Star Wars: Episode III - Revenge of the Sith""","""/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg"""
2,"""tt0499549""","""Avatar""","""/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg"""
3,"""tt0407304""","""War of the Worlds""","""/6Biy7R9LfumYshur3YKhpj56MpB.jpg"""
4,"""tt0360717""","""King Kong""","""/4fNOp3itFBw7L28kAHxwRPqyZ2K.jpg"""
5,"""tt0372784""","""Batman Begins""","""/8RW2runSEc34IwKN2D1aPcJd2UL.jpg"""
6,"""tt0348150""","""Superman Returns""","""/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg"""
7,"""tt0388795""","""Brokeback Mountain""","""/fsbzfe9eLOEl5rJX04nPEr1eoAi.jpg"""
8,"""tt0381061""","""Casino Royale""","""/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg"""
9,"""tt1375666""","""Inception""","""/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg"""
10,"""tt1060277""","""Cloverfield""","""/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg"""
11,"""tt0111161""","""The Shawshank Redemption""","""/hBcY0fE9pfXzvVaY4GKarweriG2.jpg"""
12,"""tt0416449""","""300""","""/9W49fy5G7v9Ed3CXtvMi41YqZtt.jpg"""
13,"""tt0367882""","""Indiana Jones and the Kingdom of the Crystal Skull""","""/56As6XEM1flWvprX4LgkPl8ii4K.jpg"""
14,"""tt0382625""","""The Da Vinci Code""","""/j9lsWwnIDN2ZNtqZcE1x2o4ZKyI.jpg"""
15,"""tt0434409""","""V for Vendetta""","""/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg"""
16,"""tt0407887""","""The Departed""","""/nT97ifVT2J1yMQmeq20Qblg61T.jpg"""
17,"""tt0376994""","""X-Men: The Last Stand""","""/7RSSkRpwvkNN5iKO8zACtBA0KhQ.jpg"""
18,"""tt0413300""","""Spider-Man 3""","""/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg"""
19,"""tt0330373""","""Harry Potter and the Goblet of Fire""","""/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg"""
20,"""tt0383574""","""Pirates of the Caribbean: Dead Man's Chest""","""/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg"""
21,"""tt0418279""","""Transformers""","""/sR2xIEBQUoIVPGZOOfnMrpRcUCV.jpg"""
22,"""tt0384537""","""Silent Hill""","""/r0bEDWO2w4a43K2xTNSF284qOsc.jpg"""
